t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
0.04,	-53.4562328341,	-31.9113437806,	0,	2087.93520611,	-1450.3750229,	438.99529771,	22.1306101554,	-67.7323479136,	438.99529771
0.04,	-42.1340194603,	-5.34605389699,	0,	2090.13157252,	-1447.80476336,	438.424977099,	21.6685367265,	-62.7694469926,	438.424977099
0.04,	-42.1340194603,	-5.34605389699,	0,	2092.32793893,	-1445.23450382,	437.854656489,	21.2249462348,	-58.0050621085,	437.854656489
0.04,	-25.9640626985,	15.7027809339,	0,	2093.8959084,	-1457.2089771,	437.284335878,	20.8426365645,	-66.5522427379,	437.284335878
0.04,	-25.9640626985,	15.7027809339,	0,	2095.46387786,	-1469.18345038,	436.714015267,	20.475619281,	-74.7575361422,	436.714015267
0.04,	-25.9640626985,	15.7027809339,	0,	2097.03184733,	-1481.15792366,	436.143694656,	20.1232826888,	-82.6346178103,	436.143694656
0.04,	6.17264711695,	45.7947138773,	0,	2097.73661069,	-1487.35224427,	435.573374046,	20.2418300904,	-83.4439923291,	435.573374046
0.04,	6.17264711695,	45.7947138773,	0,	2098.44137405,	-1493.54656489,	435.003053435,	20.3556355959,	-84.2209918671,	435.003053435
0.04,	-19.8241734398,	-36.1307427232,	0,	2103.20690076,	-1504.12134351,	434.432732824,	23.3233488833,	-92.4491693822,	434.432732824
0.04,	-19.8241734398,	-36.1307427232,	0,	2107.97242748,	-1514.69612214,	433.862412214,	26.1723536392,	-100.348219797,	433.862412214
0.04,	-4.97362450204,	37.4848618675,	0,	2112.18558779,	-1521.5231145,	433.292091603,	28.9711484067,	-101.388809202,	433.292091603
0.04,	-4.97362450204,	37.4848618675,	0,	2116.39874809,	-1528.35010687,	432.721770992,	31.6579913835,	-102.387775031,	432.721770992
0.04,	-4.97362450204,	37.4848618675,	0,	2120.6119084,	-1535.17709924,	432.151450382,	34.2373606412,	-103.346782227,	432.151450382
0.04,	32.1966488153,	-54.8918927818,	0,	2130.84003053,	-1531.06607634,	431.581129771,	43.9747294201,	-97.4620046642,	431.581129771
0.04,	32.1966488153,	-54.8918927818,	0,	2141.06815267,	-1526.95505344,	431.01080916,	53.3226034478,	-91.8126182042,	431.01080916
0.04,	-32.173792597,	-13.1927601327,	0,	2149.02635115,	-1528.79059542,	430.44048855,	57.5426181404,	-90.4299441867,	430.44048855
0.04,	-32.173792597,	-13.1927601327,	0,	2156.98454962,	-1530.6261374,	429.870167939,	61.5938322452,	-89.1025771299,	429.870167939
0.04,	1.08718245743,	30.7690381845,	0,	2165.40748092,	-1544.6589313,	429.299847328,	67.2595802995,	-97.7791946547,	429.299847328
0.04,	1.08718245743,	30.7690381845,	0,	2173.83041221,	-1558.69172519,	428.729526718,	72.6986984316,	-106.108747479,	428.729526718
0.04,	1.08718245743,	30.7690381845,	0,	2182.25334351,	-1572.72451908,	428.159206107,	77.9202518385,	-114.105118189,	428.159206107
0.04,	60.9663572419,	28.8875210127,	0,	2176.05825954,	-1579.8831145,	427.588885496,	71.2948154439,	-115.257664224,	427.588885496
0.04,	60.9663572419,	28.8875210127,	0,	2169.86317557,	-1587.04170992,	427.018564885,	64.9343965051,	-116.364108418,	427.018564885
0.04,	26.8876229021,	-30.8006508552,	0,	2179.9270229,	-1590.53312977,	426.448244275,	73.0738189961,	-116.293333169,	426.448244275
0.04,	26.8876229021,	-30.8006508552,	0,	2189.99087023,	-1594.02454962,	425.877923664,	80.8876645875,	-116.22538893,	425.877923664
0.04,	13.2590076683,	-12.7463501903,	0,	2201.2269313,	-1602.91627481,	425.307603053,	88.9691369367,	-120.622283563,	425.307603053
0.04,	13.2590076683,	-12.7463501903,	0,	2212.46299237,	-1611.808,	424.737282443,	96.7273503919,	-124.843302412,	424.737282443
0.04,	13.2590076683,	-12.7463501903,	0,	2223.69905344,	-1620.69972519,	424.166961832,	104.175235309,	-128.895480506,	424.166961832
0.04,	31.354710849,	50.2926463824,	0,	2223.44564885,	-1628.27236641,	423.596641221,	101.019145934,	-128.997691003,	423.596641221
0.04,	31.354710849,	50.2926463824,	0,	2223.19224427,	-1635.84500763,	423.026320611,	97.9893001332,	-129.09581308,	423.026320611
0.04,	-40.2598416357,	28.5082362702,	0,	2233.02280916,	-1639.97948092,	422.456,	101.896676753,	-126.760745457,	422.456
0.04,	-40.2598416357,	28.5082362702,	0,	2242.85337405,	-1644.1139542,	421.885679389,	105.647758307,	-124.519080539,	421.885679389
0.04,	50.5218965076,	18.857840089,	0,	2250.01920611,	-1648.24842748,	421.315358779,	110.321922614,	-122.753098065,	421.315358779
0.04,	50.5218965076,	18.857840089,	0,	2257.18503817,	-1652.38290076,	420.745038168,	114.809120348,	-121.05775489,	420.745038168
0.04,	50.5218965076,	18.857840089,	0,	2264.35087023,	-1656.51737405,	420.174717557,	119.116830173,	-119.430225442,	420.174717557
0.04,	-30.0350355269,	57.5702852127,	0,	2257.91181679,	-1660.65184733,	425.308519084,	106.969264247,	-116.319299367,	425.308519084
0.04,	-30.0350355269,	57.5702852127,	0,	2251.47276336,	-1664.78632061,	430.442320611,	95.3076009587,	-113.332810335,	430.442320611
0.04,	-52.3952961151,	-19.7857887121,	0,	2253.40714504,	-1668.92079389,	438.857648855,	91.256491488,	-113.560023821,	438.857648855
0.04,	-52.3952961151,	-19.7857887121,	0,	2255.34152672,	-1673.05526718,	447.272977099,	87.3674263961,	-113.778148768,	447.272977099
0.04,	-11.6179056691,	-63.1326254079,	0,	2254.93606107,	-1677.18974046,	437.857770992,	83.0187660906,	-115.721422185,	437.857770992
0.04,	-11.6179056691,	-63.1326254079,	0,	2254.53059542,	-1681.32421374,	428.442564885,	78.8440521973,	-117.586964665,	428.442564885
0.04,	-11.6179056691,	-63.1326254079,	0,	2254.12512977,	-1685.45868702,	419.027358779,	74.8363268597,	-119.377885446,	419.027358779
0.04,	16.5886780019,	21.130662306,	0,	2265.74745038,	-1689.59316031,	416.548030534,	83.6638486917,	-117.726637887,	416.548030534
0.04,	16.5886780019,	21.130662306,	0,	2277.36977099,	-1693.72763359,	414.06870229,	92.1382696503,	-116.14144023,	414.06870229
0.04,	62.7476063998,	27.0600064177,	0,	2280.46537405,	-1697.86210687,	417.987236641,	93.9344220516,	-114.382476716,	417.987236641
